Service Name,Category,Duration (minutes),Description,Is Chemical (Yes/No),Status (Active/Inactive),Image URL
Cut, Shampoo and Blowdry,Haircut and Blowdry,60,Professional haircut with shampoo and blowdry,No,Active,
Kid's Haircut,Haircut and Blowdry,45,Haircut service for children,No,Active,
Shampoo and Blowdry,Haircut and Blowdry,45,Hair wash and styling,No,Active,
Shampoo + Blowdry (Premium),Haircut and Blowdry,60,Premium hair wash and styling service,No,Active,
Tint,Hair Coloring,120,Full hair color tint service,Yes,Active,
Tint (Ammonia Free),Hair Coloring,120,Ammonia-free hair color tint,Yes,Active,
Highlights Cap,Hair Coloring,150,Hair highlights using cap technique,Yes,Active,
Highlights Foil,Hair Coloring,180,Hair highlights using foil technique,Yes,Active,
Special Conditioning,Hair Coloring,90,Deep conditioning treatment for colored hair,Yes,Active,
Balayage,Hair Coloring,240,Hand-painted highlights for natural look,Yes,Active,
Protein Treatment,Hair Treatment,60,Strengthening protein treatment,No,Active,
Moroccan Treatment,Hair Treatment,90,Argan oil-based hair treatment,No,Active,
Plarma Full Head,Hair Treatment,120,Full head plasma treatment,No,Active,
Plarma,Hair Treatment,90,Plasma hair treatment,No,Active,
Q1 Luster,Hair Treatment,90,Shine-enhancing treatment,No,Active,
Foliage Booster,Hair Treatment,120,Hair volume and strength booster,No,Active,
D2 Treatment,Hair Treatment,120,Deep repair treatment,No,Active,
Tailoring,Hair Treatment,150,Customized hair treatment,No,Active,
Perm,Straightening and Perming,180,Classic hair perm,Yes,Active,
Digital Perm,Straightening and Perming,240,Heat-assisted perm for long-lasting curls,Yes,Active,
Relaxing,Straightening and Perming,180,Hair relaxing treatment,Yes,Active,
Rebonding,Straightening and Perming,240,Hair straightening rebonding,Yes,Active,
Keratin Treatment,Straightening and Perming,180,Keratin-based smoothing treatment,Yes,Active,
Foliage,Straightening and Perming,180,Hair smoothing and strengthening,Yes,Active,
Kerateraphy,Straightening and Perming,210,Advanced keratin therapy,Yes,Active,
Hair & Make Up,Hair and Make Up,90,Complete hair styling and makeup,No,Active,
Hair Setting (Basic),Hair and Make Up,45,Basic hair styling and setting,No,Active,
Hair Setting (Premium),Hair and Make Up,60,Premium hair styling and setting,No,Active,
Manicure,Nail Care,45,Hand and nail care service,No,Active,
Pedicure,Nail Care,60,Foot and nail care service,No,Active,
Nail Extension,Nail Care,90,Artificial nail extension application,No,Active,
Footspa,Nail Care,45,Relaxing foot spa treatment,No,Active,
Gel FX,Nail Care,60,Gel nail polish application,No,Active,
Change Polish,Nail Care,30,Nail polish change service,No,Active,
Threading,Waxing and Threading,30,Facial hair removal using thread,No,Active,
Upper/Lower Lip Threading,Waxing and Threading,15,Lip hair removal,No,Active,
Eyebrow Shape,Waxing and Threading,20,Eyebrow shaping service,No,Active,
Underarm Waxing,Waxing and Threading,30,Underarm hair removal,No,Active,
Half Leg Waxing,Waxing and Threading,45,Half leg hair removal,No,Active,
Full Leg Waxing,Waxing and Threading,60,Full leg hair removal,No,Active,
Foot Massage,Massage,30,Relaxing foot massage,No,Active,
Head Massage,Massage,30,Relaxing head and scalp massage,No,Active,
