"Supplier Name","Contact Person","Email","Phone","Address","Website","Category","Payment Terms","Status (Active/Inactive)","Notes"
"Schwarzkopf Professional PH","Maria Santos","maria@schwarzkopf.ph","+63 912 345 6789","123 Business Park, Makati City","https://schwarzkopf.ph","Hair Care Products","Net 30","Active","Primary supplier for professional hair color and treatments"
"Matrix Professional Supplies","Juan Dela Cruz","juan@matrix.com.ph","+63 923 456 7890","456 Commerce Avenue, Quezon City","https://matrix.com.ph","Hair Care Products","Net 15","Active","Supplier for hair styling and treatment products"
"Wella Philippines","Rosa Garcia","rosa@wella.ph","+63 917 234 5678","789 Industrial Complex, Pasig City","https://wella.ph","Hair Color & Treatments","Net 30","Active","High-quality hair coloring and perming solutions"
"L'Oreal Professional PH","Carlos Reyes","carlos@lorealpro.ph","+63 918 567 8901","321 Tech Park, Taguig City","https://lorealpro.ph","Hair Care Products","Net 45","Active","Premium hair care and color products"
"Redken Philippines","Ana Fernandez","ana@redken.ph","+63 919 678 9012","654 Business Hub, Makati City","https://redken.ph","Hair Care & Styling","Net 30","Active","Professional hair styling and treatment products"
"Kerastase Manila","Miguel Torres","miguel@kerastase.ph","+63 920 789 0123","987 Corporate Plaza, BGC","https://kerastase.ph","Luxury Hair Care","Net 60","Active","Premium luxury hair care line"
"Ponds Beauty Supplies","Linda Mercado","linda@pondsbeauty.ph","+63 921 890 1234","147 Shopping District, Makati","https://pondsbeauty.ph","Beauty & Skincare","Net 30","Active","Skincare and beauty products for salon use"
"Maybelline Professional","Roberto Aquino","roberto@maybelline.ph","+63 922 901 2345","258 Retail Center, Quezon City","https://maybelline.ph","Makeup & Cosmetics","Net 15","Active","Professional makeup and cosmetics"
"Revlon Professional PH","Patricia Lim","patricia@revlon.ph","+63 923 012 3456","369 Fashion District, Makati","https://revlon.ph","Hair & Makeup","Net 30","Active","Hair color and professional makeup products"
"Olaplex Philippines","David Wong","david@olaplex.ph","+63 924 123 4567","741 Innovation Hub, Taguig","https://olaplex.ph","Hair Treatment","Net 45","Active","Advanced hair bonding treatment system"
"Moroccanoil Manila","Sophie Laurent","sophie@moroccanoil.ph","+63 925 234 5678","852 Luxury Center, BGC","https://moroccanoil.ph","Hair Treatment","Net 60","Active","Premium argan oil-based hair treatments"
"Tigi Professional","James Mitchell","james@tigi.ph","+63 926 345 6789","963 Professional Plaza, Makati","https://tigi.ph","Hair Care & Styling","Net 30","Active","Professional hair styling and treatment products"
"Bumble and bumble PH","Emma Richardson","emma@bumbleandbumble.ph","+63 927 456 7890","159 Salon Supply, Quezon City","https://bumbleandbumble.ph","Hair Care","Net 45","Active","Premium hair care and styling products"
"Aveda Philippines","Michael Chen","michael@aveda.ph","+63 928 567 8901","357 Wellness Center, Makati","https://aveda.ph","Natural Hair Care","Net 30","Active","Plant-based hair care and treatment products"
"Pureology PH","Jennifer Park","jennifer@pureology.ph","+63 929 678 9012","456 Beauty Hub, BGC","https://pureology.ph","Color-Safe Hair Care","Net 30","Active","Color-safe hair care products"
"Joico Philippines","Robert Santos","robert@joico.ph","+63 930 789 0123","789 Professional Supply, Makati","https://joico.ph","Hair Care & Color","Net 15","Active","Professional hair color and care products"
"Goldwell PH","Angela Reyes","angela@goldwell.ph","+63 931 890 1234","321 Salon District, Quezon City","https://goldwell.ph","Hair Color & Treatment","Net 30","Active","Professional hair coloring and treatment systems"
"Tresemmé Professional","Vincent Lopez","vincent@tresemme.ph","+63 932 901 2345","654 Retail Supply, Makati","https://tresemme.ph","Hair Care","Net 15","Active","Affordable professional hair care products"
"Pantene Professional PH","Maria Gonzales","maria.g@pantene.ph","+63 933 012 3456","987 Distribution Center, Pasig","https://pantene.ph","Hair Care","Net 30","Active","Professional hair care and treatment line"
"Sunsilk Professional","Antonio Flores","antonio@sunsilk.ph","+63 934 123 4567","147 Supply Hub, Quezon City","https://sunsilk.ph","Hair Care","Net 15","Active","Budget-friendly professional hair care"
"Dove Professional PH","Catherine White","catherine@dove.ph","+63 935 234 5678","258 Beauty Supply, Makati","https://dove.ph","Hair & Skin Care","Net 30","Active","Professional hair and skincare products"
"Garnier Professional","Lucas Martinez","lucas@garnier.ph","+63 936 345 6789","369 Professional Center, BGC","https://garnier.ph","Hair Care & Color","Net 30","Active","Professional hair coloring and treatment products"
"Coty Beauty Supplies","Diana Foster","diana@coty.ph","+63 937 456 7890","741 Cosmetics Hub, Makati","https://coty.ph","Makeup & Fragrance","Net 45","Active","Professional makeup and fragrance products"
"Estee Lauder Professional","Richard Thompson","richard@esteelauder.ph","+63 938 567 8901","852 Luxury Supply, BGC","https://esteelauder.ph","Premium Beauty","Net 60","Active","Premium beauty and skincare products"
"Shiseido Professional PH","Yuki Tanaka","yuki@shiseido.ph","+63 939 678 9012","963 Asian Beauty Center, Makati","https://shiseido.ph","Premium Hair & Skin","Net 45","Active","Premium Japanese beauty and hair care products"
