Product Name,Category,Brand,Description,UPC Code,Unit Cost,OTC Price,Product Variants,Shelf Life,Commission Percentage,Status,Image URL
Olaplex No. 3 Hair Perfector,Hair Treatment,Olaplex,Repairs and strengthens damaged hair,DS-OLAP-HAIR-0001,1200,1800,100ml,24,15,Active,
Olaplex No. 4 Bond Maintenance Shampoo,Hair Care,Olaplex,Gentle cleansing shampoo for all hair types,DS-OLAP-SHAM-0002,1100,1650,250ml,24,15,Active,
Olaplex No. 5 Bond Maintenance Conditioner,Hair Care,Olaplex,Hydrating conditioner for damaged hair,DS-OLAP-COND-0003,1100,1650,250ml,24,15,Active,
Schwarzkopf Igora Royal Hair Color,Hair Color,Schwarzkopf,Professional permanent hair color,DS-SCHW-COLO-0004,450,750,60ml,36,12,Active,
Schwarzkopf BlondMe Premium Lightener,Hair Color,Schwarzkopf,Premium dust-free lightening powder,DS-SCHW-LITE-0005,800,1200,450g,24,12,Active,
Matrix Total Results Shampoo,Hair Care,Matrix,Professional salon shampoo,DS-MATR-SHAM-0006,380,580,300ml,24,10,Active,
Matrix Total Results Conditioner,Hair Care,Matrix,Professional salon conditioner,DS-MATR-COND-0007,380,580,300ml,24,10,Active,
Wella Color Touch Semi-Permanent,Hair Color,Wella,Demi-permanent hair color,DS-WELL-SEMI-0008,520,820,60ml,36,12,Active,
Wella Koleston Perfect,Hair Color,Wella,Permanent professional hair color,DS-WELL-PERM-0009,550,850,60ml,36,12,Active,
L'Oreal Professionnel Serie Expert,Hair Care,L'Oreal,Professional hair treatment series,DS-LORE-SERI-0010,650,950,250ml,24,10,Active,
Redken Extreme Shampoo,Hair Care,Redken,Strengthening shampoo for damaged hair,DS-REDK-SHAM-0011,720,1080,300ml,24,12,Active,
Redken All Soft Conditioner,Hair Care,Redken,Moisturizing conditioner for dry hair,DS-REDK-COND-0012,720,1080,250ml,24,12,Active,
Kerastase Nutritive Bain Satin,Luxury Hair,Kerastase,Nourishing shampoo for dry hair,DS-KERA-BAIN-0013,1450,2100,250ml,24,18,Active,
Kerastase Resistance Masque,Luxury Hair,Kerastase,Strengthening hair mask,DS-KERA-MASK-0014,1800,2600,200ml,24,18,Active,
Moroccanoil Treatment Original,Hair Treatment,Moroccanoil,Argan oil hair treatment,DS-MORO-TREA-0015,1650,2400,100ml,24,15,Active,
Moroccanoil Hydrating Shampoo,Hair Care,Moroccanoil,Gentle hydrating shampoo,DS-MORO-SHAM-0016,980,1450,250ml,24,15,Active,
Tigi Bed Head Resurrection Shampoo,Hair Care,Tigi,Repair shampoo for damaged hair,DS-TIGI-SHAM-0017,480,720,400ml,24,10,Active,
Tigi Catwalk Curls Rock Amplifier,Hair Styling,Tigi,Curl defining cream,DS-TIGI-CURL-0018,550,820,150ml,24,10,Active,
Joico K-PAK Color Therapy Shampoo,Hair Color,Joico,Color-protecting shampoo,DS-JOIC-SHAM-0019,620,920,300ml,24,12,Active,
Joico Defy Damage Protective Masque,Hair Treatment,Joico,Bond-strengthening treatment mask,DS-JOIC-MASK-0020,780,1150,150ml,24,12,Active,
Goldwell Dualsenses Color Shampoo,Hair Color,Goldwell,Color brilliance shampoo,DS-GOLD-SHAM-0021,520,780,250ml,24,10,Active,
Goldwell Kerasilk Control Conditioner,Hair Care,Goldwell,Smoothing conditioner,DS-GOLD-COND-0022,680,1020,200ml,24,12,Active,
Aveda Damage Remedy Shampoo,Natural Hair,Aveda,Plant-based repair shampoo,DS-AVED-SHAM-0023,890,1320,250ml,24,15,Active,
Pureology Hydrate Shampoo,Hair Care,Pureology,Sulfate-free hydrating shampoo,DS-PURE-SHAM-0024,950,1400,266ml,24,12,Active,
Bumble and bumble Thickening Spray,Hair Styling,Bumble and bumble,Volume-boosting styling spray,DS-BUMB-SPRA-0025,1100,1600,250ml,24,15,Active
